1	𑃲 ٦
g	９ ꞡ ģ ǧ ໘ ꠥ ǥ ɡ 9 ꬶ ĝ 𑣏 ğ ց Ɡ ǵ ġ ꝯ ᶃ ḡ
c	ᥴ 🝌 𐐽 𖼐 ꓚ 𐊢 ᴄ 𑫂 Σ 𐐕 ⲥ ¢ ᲃ ｃ 𐔛 ϲ с ⅽ C
r	𐔏 ෦ 𝈬 ᠷ ⲅ ⸀ ୮ ᡪ ŗ ᠵ г ｒ 𐌲 ᡵ ꭈ ᡕ 𐼗 ᴦ ꭇ
m	ҭ ጠ ጣ ｍ ៣ ᶆ ꭑ 𖬢 ⴜ ՠ 𑴮 ท 𑜀 ᗰ ⴖ ꧑ ṃ ⅿ
h	♄ ከ ԧ Һ ɦ Ⴙ һ 𑫓 ⱨ 𐔒 ｈ ꞕ Ԧ ክ ℎ 𐌷
i	ⅈ ɨ ї ⳕ і Ꭵ ｉ ⅰ ¡ ຳ ℹ í ﺃ أ 🕴 ⭱ ì Ⳕ ỉ וֹ
a	ǎ ส å ä ᨡ ã ā á ล 𖫝 ᥑ ᶏ ả ầ â ą ă ａ à
b	␢ ƀ ხ Ხ 𐔽 ƅ ḇ ϸ ḅ þ ｂ ᵬ 𝈇 ߿ ᑲ ᖯ ɓ 𐓄
o	᪐ ᭐ ⲟ 𐐬 𑵐 𐑴 𐓪 ᭵ ꧆ ᧐ ꧐ 𑶠 𐔖 о ၀ ߋ ௦ ᦞ ჿ ᪀
p	ꓑ р ƿ ⳏ Ῥ Ｐ Р Ꝑ ꛤ P ᱞ 𐼜 ｐ ꝓ ꝑ 𑫢 ᑭ
t	ﴼ 🠑 ţ ₶ ੮ ⮬ ΐ ƭ ﾋ ť 𖼹 ｔ Ꝉ ʈ ṯ ੯ ṭ ț ΐ ꮏ
k	ⲕ Ǩ Ƙ Κ ķ ｋ Ⲕ ҟ Ќ 𐌊 Ḱ 𐆂 ꝁ ƙ ꞣ
n	ｎ ⴄ m ຖ ท ո ղ ꞑ ⴖ ໗ 𖬢 ກ ⲡ 𐌿 ח ՠ 𐔗 ᥒ ฑ ⅿ
e	ę ꋠ ⅇ è ᧉ ဧ е ē ｅ ꬳ ẻ ẹ ҽ ⱸ 𐹲 ꫀ ၔ ᥱ ၕ ė
l	Ⲓ ꓲ 𑫥 𖼨 𐌉 ᛁ ꡶ 𖭐 𝍩 𐣭 ߊ 𐴱 ꒐ 𑀭 𖩙 𐣻 ⅼ 𑪛 ㆐ 𐌠
u	𐓶 ⴍ ⴎ ບ ս 𖽂 น 𑚞 ꓴ U Ս ม ա ᥙ ⳙ 𑵒 ߎ 𐌵 Ա
s	𐐠 ຣ ಽ ꓢ ร 𑛈 ડ Տ ѕ ᥉ 𖹪 𐍃 𖼺 ട ꮪ ຮ ꂢ 𐑈 S
d	ꁐ đ ď 𐆋 ḋ ⅾ ḍ ḏ ԁ 𑫙 ძ ꓒ Ძ ꒮ ꒯ 𑀘 ｄ Ԁ
y	ý Ў У ꭹ Ӯ ÿ ỵ Ꭹ ꮍ ｿ ｙ ƴ Ỿ Ӱ ỿ
v	𑫟 𖩍 ᴠ ꓦ 𐑫 ｖ ꛟ ⅴ ٧ 𐰟
j	ǰ ᒨ Ј ｊ Ｊ
w	Ѡ ꓪ Ꮤ Ｗ ฟ ŵ ꟽ พ W
f	í ꛐ 𑃱 𑃗 ḯ ŕ 𐙗 ᛛ 𑣂 ☨
z	𐔇 Z 𐌶 ℤ Ｚ ᴢ
x	᥊ ⵝ 𐰓 ᚷ 𐊴 ᰽ Χ ᳵ
-	𝃰
q	ᑫ ঀ ꝗ
5	ธ
&	＆
