1	٦ 𑃲
g	ḡ ꝯ ꠥ ꬶ ǥ ց 9 ໘ ǵ ĝ ğ ９ ᶃ ġ ꞡ ģ ǧ ɡ Ɡ 𑣏
c	🝌 ᥴ ϲ 𑫂 ⲥ 𐐽 C 𐔛 ｃ ⅽ ꓚ с Σ ᴄ ¢ 𐐕 𖼐 ᲃ 𐊢
r	ｒ ⸀ ⲅ ᡪ г ᠵ ᴦ 𐼗 𐌲 ᡵ ᡕ ୮ ᠷ ŗ ꭇ ꭈ 𝈬 𐔏 ෦
m	ⴖ ጠ ｍ ҭ ៣ 𑜀 ṃ ጣ ᗰ 𖬢 ᶆ ꧑ ՠ ⴜ ⅿ ꭑ 𑴮 ท
h	ℎ ԧ ከ 𐔒 ⱨ ꞕ ｈ Ԧ һ ክ Һ Ⴙ ɦ ♄ 𑫓 𐌷
i	ì וֹ Ꭵ ﺃ ⳕ ¡ ℹ 🕴 أ ｉ ї і ỉ ⅈ í ⭱ ຳ ɨ ⅰ Ⳕ
a	ล á à ą 𖫝 ᥑ å ᶏ ä ã ส ａ ầ â ā ă ᨡ ả ǎ
b	ḅ ᑲ ␢ ｂ ᖯ ϸ ḇ ᵬ þ ƀ 𐔽 𝈇 ƅ 𐓄 ɓ Ხ ხ ߿
o	ჿ ᪐ 𐑴 о 𑶠 ꧐ ᧐ ᦞ ᭐ 𐔖 ߋ ၀ ᭵ 𐐬 ꧆ ᪀ 𑵐 ௦ 𐓪 ⲟ
p	Ｐ P ᱞ 𐼜 Ῥ ᑭ 𑫢 ꓑ р Р ｐ ƿ ꝓ Ꝑ ꝑ ꛤ ⳏ
t	𖼹 ₶ ţ 🠑 ꮏ ƭ ṯ ﴼ ੮ ΐ ΐ ੯ Ꝉ ⮬ ț ť ﾋ ʈ ｔ ṭ
k	ⲕ ḳ ｋ ķ Ǩ ҟ Ⲕ 𐔘 𐌊 K ꞣ Ƙ ƙ Ќ K
n	ฑ ຖ ᥒ ⅿ ղ ท ꞑ ກ 𐔗 ո ⲡ ⴖ ח 𐌿 m ｎ 𖬢 ⴄ ՠ ໗
e	ᥱ ҽ ၕ ē ẹ ဧ ⅇ ࿉ ⱸ ę è ｅ е ꫀ ė ꬳ ᧉ ẻ ၔ ꋠ
l	𑫥 ߊ 𐌉 𑑋 𐌠 ㆐ Ⲓ 𖼨 𖩙 ᛁ 𐴱 ꒐ ꡶ 𐣻 𖭐 𐣭 𑀭 ⅼ ꓲ 𑪛
u	Ա ꓴ Ս ⴍ 𖽂 ա 𑚞 ⴎ 𐓶 𑵒 ս 𐌵 U ߎ น ม ⳙ ບ ᥙ
s	ꓢ 𐐠 S 𐍃 𖼺 Տ 𖹪 ຮ ร ಽ ꮪ ട ꂢ ຣ 𑛈 ડ 𐑈 ѕ ᥉
d	ḋ ძ đ ꒬ ⅾ ꒯ ԁ ꓒ ḏ ｄ ɗ ꒮ ḍ Ძ Ԁ 𑀘 𑫙 ꁐ
y	Ў ｙ Ӱ ỿ Ӯ ｿ Ꭹ Ỿ ƴ ỵ У ÿ ꮍ ý ꭹ
v	𐰟 𐑫 𑫟 ꛟ 𖩍 ٧ ｖ ꓦ ⅴ ᴠ
j	Ｊ ǰ Ј ｊ ᒨ
w	W ฟ Ꮤ Ѡ ꓪ ꟽ พ Ｗ ŵ
f	𑣂 𐙗 ŕ ꛐ ☨ 𑃱 𑃗 ḯ ᛛ í
z	ꛉ Ｚ ᴢ ℤ 𐔇 𐌶
x	᰽ ᳵ Χ 𐊴 𐰓 ⵝ ᚷ ᥊
-	𝃰
q	ꝗ ঀ ᑫ
5	ธ
&	＆
